"word","meaning","pos","belong","pron_uk","pron_us"
"admire","admire","verb","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adm/admir/admire__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admir/admire__us_1.ogg"
"admission","admission","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adm/admis/admission__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admis/admission__us_1.ogg"
"admit","admit","verb","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adm/admit/admit__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admit/admit__us_2.ogg"
"adolescent","adolescent","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ado/adole/adolescent__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adole/adolescent__us_1.ogg"
"adopt","adopt","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ado/adopt/adopt__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adopt/adopt__us_1.ogg"
"adoption","adoption","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ado/adopt/adoption__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adopt/adoption__us_1.ogg"
"adult","adult","adjective","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adu/adult/adult__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adu/adult/adult__us_2_rr.ogg"
"adult","adult","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adu/adult/adult__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adu/adult/adult__us_2_rr.ogg"
"advance","advance","adjective","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adv/advan/advance__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advance__us_1.ogg"
"advance","advance","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adv/advan/advance__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advance__us_1.ogg"
"advance","advance","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adv/advan/advance__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advance__us_1.ogg"
"advanced","advanced","adjective","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adv/advan/advanced__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advanced__us_1.ogg"
"advantage","advantage","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/adv/advan/advantage__gb_4.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advantage__us_1.ogg"
